;Исполнитель;Группа тем;Текст инцидента;Тема;lemm
52;Министерство здравоохранения;Здравоохранение/Медицина;"'Здравствуйте,уважаемые медики. Пишет вам граждане г.Березники.<br>Вчера моя дочь (36 лет)<br>заболела простудным заболеванием,поднялась температура 39.Она вызвала ""скорую"".<br>Ждала 4 часа,это пустяк.Но когда медик пришел и( без бахил) просто не оказал никакую помощь,сказал ехать на прием к врачу. Моя дочь мать одиночка,ребенка оставить не с кем,я живу далеко от нее.<br>А если бы с моей дочерью что то случилось? Зачем нужна такая""скорая""<br>Если приехала,окажи помощь.Прошу разобраться.";★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;"'здравствуйте,уважать медики. писать вы гражданин г.березники.<br>вчера мой дочь (36 лет)<br>заболеть простудный заболеванием,подняться температура 39.он вызвать ""скорую"".<br>ждать 4 часа,этый пустяк.ный когда медик прийти и( без бахил) просто не оказать никакой помощь,сказать ехать на приём к врачу. мой дочь мать одиночка,ребёнка оставить не с кем,ть жить далеко от нее.<br> если бы с мой дочь что то случилось? зачем нужный такая""скорая""<br>ести приехала,оказать помощь.просить разобраться."
53;АО ПРО ТКО;Мусор/Свалки/ТКО;'СРОЧНО! г. Лысьва, ул. Смышляева,38. Есть площадка мусорокамеры. К площадке не подъезжают, не охото. Отказываются вывозить мусор, т.к. нет контейнеров. 30 лет вывозили, и была возможность,а сейчас не могут? Обслуживает<br>г. Кунгур. Просим предоставить специально предназначенные емкости, пакеты и мусоровозы, которые должен предоставить региональный оператор. Телефон для связи 89048492766;★ Уборка/Вывоз мусора;'роно! г. льва, ул. смышляева,38. есть площадка мусорокамеры. к площадка не подъезжают, не охото. отказываться вывозить мусор, т.к. нет контейнеров. 30 год вывозили, и быть возможность, сейчас не могут? обслуживает<br>г. кунгур. просить предоставить специально предназначить емкости, пакет и мусоровозы, который должный предоставить региональный оператор. телефон для связь 89048492766
54;Лысьвенский городской округ;Общественный транспорт;'Нужен ещё пешеходный переход, там где ул. Шестакова пересекает ул. Строительную. Поток детей, со стороны 29 садика в сторону новой площадки, очень большой.;Пешеходные переходы и жд переезды;'нужный ещё пешеходный переход, там где ул. шестаков пересекать ул. строительную. поток детей, с сторона 29 садик в сторона новый площадки, очень большой.
55;Город Пермь;Дороги;'#9вопросовчиновникам<br>На набережной Мотовилихинского пруда продолжает исчезать чугунные декоративное ограждение. Воры вошли во вкус и уже тырят не только ограждения, Ну и выламывают под корень столбики которым когда-то были прикреплены ограждения.<br>Но воры не ограничились одними лишь столбиками ограждениями: они также сняли профильный лист состоящий рядом с прудом контейнерной площадкой рядом с бывшим хлебозаводом. На железной раме остались только отверстия от саморезов. Воры были настолько уверены в своей безнаказанности, что оставили вокруг площадки множество следов когда снимали листы. Достаточно посмотреть сколько дней назад в Перми был снегопад и можно будет установить более-менее точно дату воровства.<br>Другие случаи краж на пруду<br>https://vk.com/wall521207710_25689<br>[id628987039|Алексей Дёмкин] необходимо восстановить украденное ограждение на Мотовилихинском пруду. До принятие мер поставить защитное ограждение. Также необходимо восстановить профильные листы на площадке для ТБО.;Необходима установка и замена дорожных ограждений;'#9вопросовчиновникам<br>ный набережная мотовилихинский пруд продолжать исчезать чугунный декоративный ограждение. вор войти в вкус и уже тырить не только ограждения, ну и выламывать под корень столбик который когда-то быть прикрепить ограждения.<br>ный вор не ограничиться один лишь столбик ограждениями: они также снять профильный лист состоять ряд с пруд контейнерный площадка ряд с бывший хлебозаводом. на железный рам остаться только отверстие от саморезов. вор быть настолько уверить в свой безнаказанности, что оставить вокруг площадка множество след когда снимать листы. достаточно посмотреть сколько день назад в пермь быть снегопад и можно быть установить более-менее точно дата воровства.<br>другий случай кража на пруду<br>https://vk.com/wall521207710_25689<br>[id628987039|алексей дёмкин] необходимый восстановить украсть ограждение на мотовилихинский пруду. до принятие мера поставить защитный ограждение. также необходимый восстановить профильный лист на площадка для бо.
56;Александровский муниципальный округ Пермского края;Благоустройство;'Дорожка к 3 школе посёлка Яйва - бесхозный объект, заросли кустов и репейника<br>Всё сложнее передвигаться школьникам по ней, приходится сходить на проезжую часть. А там достаточно активное движение желающих довезти своё чадо до самых ворот в школу на машине.<br>Зимой ситуация ещё больше усугубляется - никто ведь и снег не чистит там.<br>Конечно это не территория<br>школы и они не обязаны содержать этот тротуар... но кто-то же должен?;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников;'дорожка к 3 школа посёлок яйцо - бесхозный объект, заросль куст и репейника<br>всё сложный передвигаться школьник по ней, приходиться сходить на проезжий часть. а там достаточно активный движение желающий довезти свой чадо до самый ворота в школа на машине.<br>зить ситуация ещё большой усугубляться - никто ведь и снег не чистить там.<br>конечный это не территория<br>школа и они не обязать содержимый этот тротуар... но кто-то же должен?
57;Бардымский муниципальный округ Пермского края;Социальное обслуживание и защита;'Добрый день,скажите пожалуйста мне 27 мужу 32, двое маленьких детец,сможем ли мы встать в очередь как молодая семья???заранее благодарю если ответите;Оказание гос. соц. помощи;'добрый день,сказать пожалуйста я 27 муж 32, двое маленькая детей,смочь ли мы встать в очередь как молодая семья???зараный благодарить если ответить
58;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте, 16 июня ребёнку будет два года, когда подавать заявление на продление Путинских (ребёнок первый)? Можно ли подать через Госуслуги и нужно ли тогда прикреплять справки о доходах (мать одиночка, устроена официально, но нахожусь в декретом отпуске до 3 лет) или всё запрашивают сами в соответствующих ведомствах?;Дети и многодетные семьи;'здравствуйте, 16 июнь ребёнок быть два года, когда подавать заявление на продление путинский (ребёнок первый)? можно ли подать через госуслуга и нужно ли тогда прикреплять справка о доход (мать одиночка, устроить официально, но находиться в декрет отпуск до 3 лет) или весь запрашивать сам в соответствующий ведомствах?
59;Лысьвенский городской округ;Благоустройство;'[club80949945|Администрация города Лысьвы], конечно выедут. Ко мне уже пять лет едут тополя спиливать. Было два официальных обращения. Кроме обещаний ничего!!!!!!!;Вырубка деревьев, кустарников;'[club80949945|администрация город львы], конечно выедут. к я уже пять год ехать тополь спиливать. быть два официальный обращения. кроме обещание ничего!!!!!!!
60;Город Пермь;Дороги;'На перекрёстке Куйбышева и Васильева понятно что их положено два но второй (дублирующий) то логичнее за перекрёстком установить а не для формальности горизонтально в метре от основного…;Предложить установку нового лежачего полицейского (ИДН);'на перекрёсток куйбышев и васильев понятно что они положить два но два (дублирующий) то логичный за перекрёсток установить а не для формальность горизонтально в метр от основного…
61;Город Пермь;Дороги;';★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;'
62;ИГЖН ПК;ЖКХ;'Мне кажется что писать в игжн на защиту своих прав бестолку т.к из практики игжн отвечает так , лишь бы ответить,мер к УК атлант и пдск не принимает???;Жалобы на управляющие компании;'мна кажется что писать в игн на защита свой право бестолк т.к из практика игн отвечать так , лишь бы ответить,мер к у атлант и пуск не принимает???
63;Министерство здравоохранения;Экономика и бизнес;'Теперь нам надо будет думать за какие деньги купить лекарства?? Цены поднялись до потолка и наверное просто сделали так, чтоб тупо устроить геноцид в нашей стране. Чтоб люди не имели возможности покупать медикаменты и просто умирали от безысходности. За то у нас почиститься страна, думает наша власть.;Цены и ценообразование;'теперь мы надо быть думать за какой деньга купить лекарства?? цена подняться до потолок и наверное просто сделать так, чтоб тупо устроить геноцид в наш стране. чтоб человек не иметь возможность покупать медикамент и просто умирать от безысходности. за то у мы почиститься страна, думать наш власть.
64;Александровский муниципальный округ Пермского края;Культура;'[club201789187|ЦУР Пермского края] , здравствуйте! Месяц назад в личке сообщества [club143106820|Пермский край] задал вопрос про статус модерации кинотеатра в Александровске. Мне не ответили. Почему?;Учреждения культуры;'[club201789187|ура пермский края] , здравствуйте! месяц назад в личка сообщество [club143106820|пермский край] задать вопрос про статус модерация кинотеатр в александровске. я не ответили. почему?
65;Губахинский городской округ;Дороги;'Ау;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;'ау
66;Город Пермь;Благоустройство;"'Пермь г, +79194462857. Очень не нравится такое уродливое кронирование деревьев. Во-первых, это нарушает внешний облик города. Во-вторых, деревья жалко. Лучше бы полностью убрали, чем такое издевательство над деревом.
Куда можно написать обращение по этому вопросу?";★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников;'пермь г, +79194462857. очень не нравиться такой уродливый кронирование деревьев. во-первых, это нарушать внешний облик города. во-вторых, дерево жалко. хороший бы полностью убрали, чем такой издевательство над деревом. куда можно написать обращение по это вопросу?
67;Город Пермь;Дороги;'Рассмотрите пожалуйста заявление;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;'рассмотреть пожалуйста заявление
68;Город Пермь;Дороги;'Добрый день. Территорию чистят от льда?;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;'добрый день. территория чистить от льда?
69;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте, у меня вопрос по электронному больничному. У меня ребенок заболел в четверг, я сразу позвонила в регистратуру, чтобы записаться на приём. Свободная запись была только на следующей неделе в среду. Больничный выписывают только в день обращения. Получается, что с четверга по среду я прогуливаю работу? Как быть?;Технические проблемы с записью на прием к врачу;'здравствуйте, у я вопрос по электронный больничному. у я ребёнок заболеть в четверг, я сразу позвонить в регистратуру, чтобы записаться на приём. свободный запись быть только на следующий неделя в среду. больничный выписывать только в день обращения. получается, что с четверг по среда я прогуливать работу? как быть?
70;Лысьвенский городской округ;Благоустройство;'Нужно благоустроить площадку бывшего кинотеатра Комсомолец! Там население большое, а погулять, посидеть вообще не где!! Поселок надо облагородить,👍;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь);'нужный благоустроить площадка бывший кинотеатр комсомолец! там население большое, а погулять, посидеть вообще не где!! посёлок надо облагородить,👍
71;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый день. Подскажите, пожалуйста, даётся ли дневной стационар беременным? До какого срока беременности? По каким показаниям?;Профильный осмотр;'добрый день. подскажите, пожалуйста, даваться ли дневный стационар беременным? до какой срок беременности? по какой показаниям?
72;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте, пришло уведомление от госуслуг, лк как понять в личном кабинете нет информации;Дети и многодетные семьи;'здравствуйте, пришлый уведомление от госуслуг, лк как понять в личный кабинет нет информация
73;Александровский муниципальный округ Пермского края;Дороги;'Доброго времени суток всем, кто живет в городе Александровск и близлежащих городов и поселков! Сегодня я решил довести до нашей администрации вот что, вы вообще люди!? Вы поймите что мы живем в Ивакинском карьере, тут тоже люди живут, мы сегодня проснулись, каждому нужно идти по делам, на работу и.т.д! НО, каждый второй тут человек который уже в годах и этот человек при выходе из дома выходит КАК НА КОНЬКАХ, ДОРОГА У НАС (КОЛАБС) это не описать словами!!! Пожалуйста, если вы это видете и читаете ПРИМИТЕ МЕРЫ!!! Страшно смотреть на наши улицы, почему бы убирать не ЦЕНТРАЛЬНУЮ УЛИЦУ а все!? Разве это так сложно, а если бы там жили ваши родные, как бы вы поступили;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;'добрый время сутки всем, кто жить в город александровск и близлежащий город и поселков! сегодня я решить довести до наш администрация вот что, вы вообще люди!? вы понять что мы жить в бакинский карьере, тут тоже человек живут, мы сегодня проснулись, каждый нужно идти по делам, на работа и.т.д! на, каждый два тут человек который уже в год и этот человек при выход из дом выходить ак на коньках, дорога у ас (кола) это не описать словами!!! пожалуйста, если вы это видти и читать принять ер!!! страшно смотреть на наш улицы, почему бы убирать не центральный лиу а все!? разве это так сложно, а если бы там жить ваш родные, как бы вы поступить
74;АО ПРО ТКО;Мусор/Свалки/ТКО;'Пора уже вывести пластиковый мусор, больше двух недель корзина заполнена. Перекрёсток Попкова и Степана Разина.;★ Уборка/Вывоз мусора;'пора уже вывести пластиковый мусор, большой два неделя корзина заполнена. перекрёсток подкова и степан разина.
75;Министерство здравоохранения;Коронавирус;'можно ли у нас в больницу записаться на ревакцинацию через госуслуги или надо куда-то звонить?;Доступность вакцин;'можный ли у мы в больница записаться на ревакцинация через госуслуга или надо куда-то звонить?
76;АО ПРО ТКО;ЖКХ;'Доброе утро! Прикладываю недостающие документы для перерасчета в период с января 2020 по сентябрь 2021г. Корректировка данных по лицевому счету 65765075054.;Плата за ЖКУ и работа ЕИРЦ;'добрый утро! прикладывать недоставать документ для перерасчёт в период с январь 2020 по сентябрь 2021г. корректировка дать по лицевой счёт 65765075054.
77;Город Пермь;Благоустройство;'Добрый день. Хочу сообщить о проблеме, о неубранном снеге. С 10 декабря неоднократно звонила на горячую линию 2059058, чтобы направили технику. ул. Нейвинская, ул. Кустовая не чистят снег, двухполосная дорога превратилась в одну полосу.;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади;'добрый день. хотеть сообщить о проблеме, о неубранный снеге. с 10 декабрь неоднократно звонить на горячий линия 2059058, чтобы направить технику. ул. нейвинская, ул. кустовой не чистить снег, двухполосный дорога превратиться в один полосу.
78;Министерство социального развития ПК;Социальное обслуживание и защита;'Подскажите, пожалуйста, возник еще один вопрос<br>Я проживаю в доме вместе с матерью, братом и сестрой, мы все там собственники и прописаны в доме<br>Могу ли я при этом быть официально оформлена одинокопроживающим гражданином?<br>Сотрудники соц.защиты говорят, что если я проживаю со своими родственниками, то мы должны быть оформлены как семья, иначе получить соц.контракт не получится;Оказание гос. соц. помощи;'подскажите, пожалуйста, возникнуть ещё один вопрос<br>ть проживать в дом вместе с матерью, брат и сестрой, мы весь там собственник и прописать в доме<br>мочь ли я при это быть официально оформить одинокопроживать гражданином?<br>сотрудник соц.защита говорят, что если я проживать с свой родственниками, то мы должный быть оформить как семья, иначе получить соц.контракт не получиться
79;Министерство образования;Культура;'Здравствуйте, подскажите, пожалуйста, как определялись 1100 ребят, которые посетят губернаторскую ёлку?;Культурно-досуговые мероприятия;'здравствуйте, подскажите, пожалуйста, как определяться 1100 ребят, который посетить губернаторский ёлку?
80;Лысьвенский городской округ;ЖКХ;'Обещали на часы включать воду, но воды так и нет!!! И работы тоже не ведутся. Всем наплевать, что люди без воды!!!;Отсутствие холодной воды;'обещать на часы включать воду, но вода так и нет!!! и работа тоже не ведутся. весь наплевать, что человек без воды!!!
81;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте. Пришёл отказ на выплату пособия на ребёнка от 3 до 7лет. Так как муж официально не работает. Но ему начисляется пенсия ветерана боевых действий. Разве это не доход.?;Дети и многодетные семьи;'здравствуйте. прийти отказ на выплата пособие на ребёнок от 3 до 7лет. так как муж официально не работает. но он начисляться пенсия ветеран боев действий. разве это не доход.?
82;Министерство социального развития ПК;Социальное обслуживание и защита;'[id487267481|Жанна], Здравствуйте хотела узнать про пособие перечислили вам в феврале? Я тоже ждала так и не было перечеслений и в чем причина так и не знаю.;Оказание гос. соц. помощи;'[id487267481|жанна], здравствовать хотеть узнать про пособие перечислить вы в феврале? я тоже ждать так и не быть перечисление и в чем причина так и не знаю.
83;АО ПРО ТКО;Мусор/Свалки/ТКО;'Здравствуйте дошли ли деньги за тко;Плата за вывоз ТКО;'здравствовать дойти ли деньга за тко
84;Город Пермь;Дороги;"'Пермь г, +79082420409. Проезд между домами 13 и 15 по улице Героев Хасана, необходимо очистить от снега.
Невозможно ходить с ребенком и автомобиль неуправляем в этой каше. Машины застревают";★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;'пермь г, +79082420409. проезд между дом 13 и 15 по улица герой хасана, необходимый очистить от снега. невозможно ходить с ребёнок и автомобиль неуправляемый в этот каше. машина застревать
85;Город Пермь;Дороги;'https://vk.com/video-12073669_456250873?list=74924e1544191daf8d<br>Чувашов, где обещанный кап.ремонт моста?;Ремонт/строительство мостов;'https://vk.com/video-12073669_456250873?list=74924e1544191daf8d<br>чувашов, где обещать кап.ремонт моста?
86;ИГЖН ПК;ЖКХ;'Здравствуйте, а можно пересмотреть квартплату в старых домах, они холодные и дырявые, а стоимость огромная, по мимо отопления мы ещё отапливаемся печками и газ включаем чтобы обогреться, выходит ещё дороже. Спасибо;Плата за ЖКУ и работа ЕИРЦ;'здравствуйте, а можно пересмотреть квартплата в старое домах, они холодное и дырявые, а стоимость огромная, по мимо отопление мы ещё отапливаться печка и газ включать чтобы обогреться, выходить ещё дороже. спасибо
87;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый вечер! Подскажи пожалуйста, у нас в городе кардиолога нет, может есть в Лысьве? Или к нам в город может приезжаю из Перми? Очень надо для пожилого человека 72 лет.;Нехватка или сокращение врачей и медицинских учреждений;'добрый вечер! подсказать пожалуйста, у мы в город кардиолог нет, мочь есть в льве? или к мы в город мочь приезжать из перми? очень надо для пожилое человек 72 лет.
88;ИГЖН ПК;ЖКХ;'У нас вообще 5100 за трешку. Почему тариф у всех один, а суммы такие разные.Очень интересно.;Завышение платы за коммунальные услуги;'у мы вообще 5100 за трешку. почему тариф у весь один, а сумма такой разные.очень интересно.
89;Губахинский городской округ;Дороги;"'Когда доремонтируют подвесной мост через реку Косьву??<br>И когда сделают дорогу в объезд на ""Кировский""???<br>Дачный сезон в самом разгаре, а скоро люди( преимущественно пожилые) начнут вывозить свой урожай, ни дороги, ни поручней на мосту. Хотя было обещано!!!!!!!";Ремонт/строительство мостов;"'когда ремонтировать подвесной мост через река косьву??<br>ь когда сделать дорога в объезд на ""кировский""???<br>дачный сезон в самый разгаре, а скоро люди( преимущественно пожилые) начать вывозить свой урожай, ни дороги, ни поручный на мосту. хотя быть обещано!!!!!!!"
90;Министерство здравоохранения;Здравоохранение/Медицина;'Я даже и звонить в поликлинику не стала ,поехала в больницу в неотложку . Там с 8 до 12 просидела в очереди к врачу. Народу просто ужас.. И нет ни какой организации приема пациентов . Люди в очереди к врачу и с ковидом тут же и с ОРВИ. Сначала сидели все к врачу ...потом вдруг решили всех отправить на экспресс тест. Образовалась просто огромная очередь в два кабинета , а врачи неотложки сидят не дождутся пациентов . Если пришел у тебя ОРВИ то не факт что ты не поцепишь ковид в очереди . Не правильно все это .;Очередь;'я даже и звонить в поликлиника не стать ,поехать в больница в неотложка . там с 8 до 12 просидеть в очередь к врачу. народ просто ужас.. и нет ни какой организация приём пациент . человек в очередь к врач и с вид тут же и с орви. сначала сидеть весь к врач ...потом вдруг решить весь отправить на экспресс тест. образоваться просто огромный очередь в два кабинет , а врач неотложка сидеть не дождаться пациент . если прийти у ты орвать то не факт что ты не оцепить кович в очередь . не правильно весь это .
91;Александровский муниципальный округ Пермского края;ЖКХ;'Кирова-50, тепла нет.;Ненадлежащее качество или отсутствие отопления;'кирова-50, тепло нет.
92;Министерство здравоохранения;Здравоохранение/Медицина;'В чердыни нет стоматолога?;Нехватка или сокращение врачей и медицинских учреждений;'в чернь нет стоматолога?
93;Министерство образования;Образование;'Добрый вечер. Подскажите, пожалуйста, в этом году будет конкурсный отбор на стипендию пермского края для студентов?;Образовательный процесс;'добрый вечер. подскажите, пожалуйста, в это год быть конкурсный отбор на стипендия пермский край для студентов?
94;Министерство социального развития ПК;Социальное обслуживание и защита;'Добрый день. Ситуация такая. 3 детей. Официально в отпуске по уходу. Мать одиночка. Освободилась 14 июня. Детей передали мне 30 июня. Справка о малоимущности от 15 июля. Прожиточный минимум 4 тыс с копейками. Соц защита орджо отказала в мат помощи. Я губернаторские за июль не получила. Детские и дорожные за июль тоже нет. Причина соц защита приказ о передаче мне детей от опекуна долго делали. И получается что с14 июня как я освободилась опекуну перестали платить на детей и мне насчитали с августа. Июль то где? С 1 июля я являюсь законным представителем. Сперва говорили что за форму автоматически придёт. На прошлой неделе домой отправили специалиста я писала заявление на 2 детей на форму. Что вообще происходит. Кому пожаловаться на беспредел орджо соц защиты?? С уважением ибраева Лена мухаматзиевна 89922199638;Дети и многодетные семьи;'добрый день. ситуация такая. 3 детей. официально в отпуск по уходу. мать одиночка. освободиться 14 июня. ребёнок передать я 30 июня. справка о маломощность от 15 июля. прожиточный минимум 4 тысяча с копейками. соц защита орджо отказать в мат помощи. я губернаторский за июль не получила. детский и дорожный за июль тоже нет. причина соц защита приказ о передача я ребёнок от опекун долго делали. и получаться что с14 июнь как я освободиться опекун перестать платить на ребёнок и я насчитать с августа. июль то где? с 1 июль я являться законный представителем. сперва говорить что за форма автоматически придёт. на прошлый неделя домой отправить специалист я писать заявление на 2 ребёнок на форму. что вообще происходит. кома пожаловаться на беспредел орджо соц защиты?? с уважение братва лена мухаматзий 89922199638
95;Город Пермь;Дороги;'почему у школы номер 93 на Полины Осипенко, 46, в Перми нет нормальной парковки?;Организация парковок;'почему у школа номер 93 на долина осипенко, 46, в пермь нет нормальный парковки?
96;ИГЖН ПК;ЖКХ;'Платим за все ,за обслуживание ,в итоге техничку ни разу не видели,хотя она типо убирает...в подъездах вообще не убирают,..звонили в управляющую компанию,сказали типо разберутся,в итоге тишина;Ненадлежащая уборка подъездов и лифтов;'платить за весь ,за обслуживание ,в итог техничка ни раз не видели,хотя она типо убирает...ть подъезд вообще не убирают,..звонить в управлять компанию,сказать типо разберутся,ть итог тишина
97;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте, перечень где посмотреть по имуществу?;Оказание гос. соц. помощи;'здравствуйте, перечень где посмотреть по имуществу?
98;Министерство здравоохранения;Коронавирус;'а по городам есть отдельная статистика?;Коронавирус;'а по город есть отдельный статистика?
99;Город Пермь;Общественный транспорт;'14 автобус, переполнен с утра , что до водителя не дойти, а валидаторы не работали... было в пн 17.01;Неудовлетворительные условия проезда в транспорте на действующем маршруте;'14 автобус, переполненный с утро , что до водитель не дойти, а валидатор не работали... быть в пн 17.01
